LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
KBL NBO F20 - MEMORIAL P/up Spirit,NBO,Rift,MEMORIAL,P/UP,,9869.31
KBL NBO F20 - MOGOTIO 14T Beer,NBO,Rift,MOGOTIO,14T,,58525.67
KBL NBO F20 - MOGOTIO 14T SPIRIT,NBO,Rift,MOGOTIO,14T,,58459.1
KBL NBO F20 - MOGOTIO 30T Beer,NBO,Rift,MOGOTIO,30T,,92316.54
KBL NBO F20 - MOGOTIO 30T Spirit,NBO,Rift,MOGOTIO,30T,,91853.64
KBL NBO F20 - MOGOTIO 7.5T Beer,NBO,Rift,MOGOTIO,7.5T,,45476.46
KBL NBO F20 - MOGOTIO 7.5T SPIRIT,NBO,Rift,MOGOTIO,7.5T,,50860.0
KBL NBO F20 - MOGOTIO P/up Beer,NBO,Rift,MOGOTIO,P/UP,,41125.83
KBL NBO F20 - MOGOTIO P/up Spirit,NBO,Rift,MOGOTIO,P/UP,,40466.71
KBL NBO F20 - NAIVASHA 14T BEER,NBO,Rift,NAIVASHA,14T,,30842.66
KBL NBO F20 - NAIVASHA 14T KEG,NBO,Rift,NAIVASHA,14T,,46396.48
KBL NBO F20 - Naivasha 14T SPIRIT,NBO,Rift,NAIVASHA,14T,,30116.96
KBL NBO F20 - NAIVASHA 30T BEER,NBO,Rift,NAIVASHA,30T,,47840.66
KBL NBO F20 - NAIVASHA 30T KEG,NBO,Rift,NAIVASHA,30T,,41259.01
KBL NBO F20 - Naivasha 30T SPIRIT,NBO,Rift,NAIVASHA,30T,,47091.6
KBL NBO F20 - NAIVASHA 7.5T BEER,NBO,Rift,NAIVASHA,7.5T,,24353.97
KBL NBO F20 - NAIVASHA 7.5T KEG,NBO,Rift,NAIVASHA,7.5T,,24382.01
KBL NBO F20 - Naivasha 7.5T SPIRIT,NBO,Rift,NAIVASHA,7.5T,,23611.93
KBL NBO F20 - NAIVASHA P/up Beer,NBO,Rift,NAIVASHA,P/UP,,22052.44
KBL NBO F20 - NAIVASHA P/up Spirit,NBO,Rift,NAIVASHA,P/UP,,21352.44
KBL NBO F20 - NAKURU 14T BEER,NBO,Rift,NAKURU,14T,,45929.31
KBL NBO F20 - NAKURU 14T Keg,NBO,Rift,NAKURU,14T,,45992.38
KBL NBO F20 - NAKURU 14T SPIRIT,NBO,Rift,NAKURU,14T,,45203.61
KBL NBO F20 - NAKURU 30T BEER,NBO,Rift,NAKURU,30T,,47250.94
KBL NBO F20 - NAKURU 30T Keg,NBO,Rift,NAKURU,30T,,47250.94
KBL NBO F20 - NAKURU 30T SPIRIT,NBO,Rift,NAKURU,30T,,47250.94
KBL NBO F20 - NAKURU 7.5T BEER,NBO,Rift,NAKURU,7.5T,,35473.09
KBL NBO F20 - NAKURU 7.5T Keg,NBO,Rift,NAKURU,7.5T,,35501.12
KBL NBO F20 - NAKURU 7.5T SPIRIT,NBO,Rift,NAKURU,7.5T,,34731.04
KBL NBO F20 - NAKURU P/up Beer,NBO,Rift,NAKURU,P/UP,,32103.39
KBL NBO F20 - NAKURU P/up Spirit,NBO,Rift,NAKURU,P/UP,,31403.39
KBL NBO F20 - NAROK 14T BEER,NBO,Rift,NAROK,14T,,41851.84
KBL NBO F20 - NAROK 14T KEG,NBO,Rift,NAROK,14T,,41914.91
